========================================================================================================================
MODEL PROFILING RESULTS
========================================================================================================================
PERFORMANCE METRICS:
------------------------------------------------------------------------------------------------------------------------
Batch    Status   Latency (ms)              Throughput   Memory (MB)  MB/Sample    Memory %
284      OK       283.38 ± 1.01 (282.54-285.81)    1002.2         3448.1       12.1       7.1%
285      OK       287.55 ± 0.81 (286.72-289.63)     991.1         3459.1       12.1       7.1%
286      OK       288.95 ± 1.30 (288.02-292.60)     989.8         3472.1       12.1       7.1%
287      OK       289.70 ± 0.86 (288.81-291.94)     990.7         3482.6       12.1       7.2%
288      OK       287.29 ± 1.07 (286.45-290.30)    1002.5         3496.1       12.1       7.2%
289      OK       291.72 ± 0.66 (291.05-293.35)     990.7         3508.4       12.1       7.2%
290      OK       292.75 ± 1.26 (291.77-296.38)     990.6         3519.5       12.1       7.2%
291      OK       294.04 ± 1.32 (293.18-297.91)     989.6         3531.2       12.1       7.3%
292      OK       291.25 ± 0.97 (290.17-292.91)    1002.6         3542.2       12.1       7.3%
293      OK       296.04 ± 1.41 (294.91-300.08)     989.7         3553.5       12.1       7.3%
294      OK       296.51 ± 0.79 (295.71-298.52)     991.5         3565.3       12.1       7.3%
295      OK       298.40 ± 0.75 (297.78-300.53)     988.6         3578.1       12.1       7.4%
296      OK       295.27 ± 0.97 (294.12-297.60)    1002.5         3591.5       12.1       7.4%
297      OK       300.00 ± 1.10 (298.78-303.04)     990.0         3602.4       12.1       7.4%
298      OK       300.42 ± 0.70 (299.77-302.33)     991.9         3613.8       12.1       7.4%
299      OK       302.82 ± 0.85 (302.05-305.14)     987.4         3626.4       12.1       7.5%
